epoch,train_loss,train_acc,val_loss,val_acc
1,3.088168209465994,0.3354231216111541,3.003765194316705,0.33391594502264244
2,2.2662978685536412,0.5218822618125484,2.6793350660428406,0.3962818781282275
3,1.9544110080522021,0.5912809837335399,2.5783583361226032,0.4171764518948121
4,1.774694669220416,0.6299380325329202,2.463746372708637,0.4338603320886629
5,1.627918186833276,0.6564678543764524,2.39251491357249,0.45570827043775325
6,1.5041295903738334,0.6768977536793184,2.3051731338389314,0.466433621990943
7,1.3791006948585551,0.692365414407436,2.2744339600371393,0.481051878922698
8,1.264980714090272,0.7011764136328428,2.251069200913771,0.4859775959323111
9,1.1648033415928347,0.7089949651432997,2.264548719815283,0.5071105108445221
10,1.088424178325738,0.7171039891556933,2.2176952479493433,0.5058393580678477
11,1.019258775850881,0.7264475213013168,2.2468729522567155,0.5206959561452292
12,0.991970417694757,0.7255761037955074,2.245169346166552,0.5214904266306507
13,0.9447173736162637,0.7349922540666151,2.2990133798689607,0.5230793676014936
14,0.9076190035258742,0.7413342370255616,2.3409267999542416,0.5326924604750933
15,0.9036935373726678,0.7396640201394268,2.1369942217366606,0.5430205767855724
16,0.8719637733071497,0.747022656855151,2.159941319009783,0.5442917295622468
17,0.8659603392890891,0.7448925251742835,2.2850072844114604,0.5203781679510606
18,0.8569832918032504,0.7467563903950426,2.1640126917388196,0.5533486930960515
19,0.8495425277533813,0.7466837722695585,2.2789155980706104,0.5350758719313577
20,0.8341714323809801,0.7506777691711851,2.0401841713751594,0.5511241757368713
21,0.8199212112912472,0.7526626646010844,2.269627451865401,0.5488996583776913
22,0.8039527232239546,0.7568745158791634,2.2652415213606742,0.5479462937951856
23,0.8168851965864768,0.7516702168861348,2.1392046144149774,0.563915150552157
24,0.7920286621808783,0.7586415569326104,2.1939982820097472,0.5458806705330896
25,0.7952420140731157,0.7566324554608831,2.219049601909182,0.5376181774847064
26,0.7874899170289188,0.7595129744384198,2.213784600171295,0.5517597521252086
27,0.8015876516585545,0.7538487606506584,2.1197167138159876,0.5542226106300151
28,0.7819840410151161,0.7591498838109992,2.2019225215880915,0.5624056566298562
